FEEDSTUFF,Edible_Mass,Total_Protein,Total_Energy_Lactating,Total_Energy_Gain,Total_Energy_Maintenance,Total_Fiber,EE,ASH,Ca,P,K,Cl,S,Zn ppm,Cattle,Sheep,Goat,Rabbit,Horse,Fish,Poultry
TRITICALE HAY,0.9,0.09000000000000001,1.064,0.7670000000000001,1.064,2.178,0.0,0.0,0.0027,0.00234,0.0207,0.369,0.369,0.225,1.0,1.0,0.0,0.0,1.0,0.0,0.0
TRITICALE SILAGE,0.34,0.04760000000000001,0.7772,0.6684,0.7772,0.6324000000000001,0.012240000000000003,0.0,0.001972,0.0011560000000000001,0.009180000000000002,0.13260000000000002,0.13260000000000002,0.12240000000000001,1.0,1.0,0.0,0.0,1.0,0.0,0.0
TRITICALE GRAIN,0.89,0.3471,1.6332,1.4018,1.6777000000000002,0.5785,0.02136,0.0178,0.0006230000000000001,0.003471,0.00445,0.044500000000000005,0.044500000000000005,0.3293,1.0,1.0,0.0,0.0,0.0,0.0,1.0
TURNIP TOPS (PURPLE),0.18,0.0324,0.8042,0.7538,0.806,0.0414,0.00468,0.0252,0.00558,0.0007199999999999999,0.005399999999999999,0.0234,0.0234,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
TURNIP ROOTS,0.09,0.010799999999999999,0.9400999999999999,0.9167,0.9455,0.1161,0.0014399999999999999,0.0081,0.000585,0.000279,0.00279,0.030600000000000002,0.030600000000000002,0.036,1.0,1.0,1.0,0.0,0.0,0.0,0.0
VETCH HAY,0.89,0.2848,1.0962,0.8114,1.0962,1.8066999999999998,0.016020000000000003,0.0712,0.011125000000000001,0.0030260000000000005,0.02136,0.2937,0.2937,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
"WHEAT FRESH, PASTURE",0.21,0.0756,0.8633,0.8066,0.8654,0.2919,0.0084,0.0273,0.0007349999999999999,0.0007559999999999999,0.006509999999999999,0.063,0.063,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
WHEAT HAY,0.9,0.30600000000000005,1.083,0.7949999999999999,1.083,2.079,0.018000000000000002,0.07200000000000001,0.00189,0.00198,0.012599999999999998,0.342,0.342,0.20700000000000002,1.0,1.0,0.0,0.0,1.0,0.0,0.0
WHEAT SILAGE,0.33,0.10890000000000001,0.7847,0.6824,0.7847,0.6204,0.01056,0.026400000000000003,0.00132,0.0009240000000000001,0.00693,0.1221,0.1221,0.08910000000000001,1.0,1.0,0.0,0.0,1.0,0.0,0.0
WHEAT STRAW,0.91,0.5733,0.8030999999999999,0.43,0.8304,2.5389,0.016380000000000002,0.0728,0.0015470000000000002,0.0005459999999999999,0.011830000000000002,0.5186999999999999,0.5186999999999999,0.0546,1.0,1.0,0.0,0.0,0.0,0.0,0.0
WHEAT STRAW AMMONIATED,0.85,0.28900000000000003,0.9165,0.602,0.925,2.2864999999999998,0.01275,0.0765,0.001275,0.000425,0.01105,0.4675,0.4675,0.051,1.0,1.0,0.0,0.0,1.0,0.0,0.0
